customer,state,customer lifetime value,response,coverage,education,effective to date,employment status,gender,income,location code,marital status,monthly premium auto,months since last claim,months since policy inception,number of open complaints,number of policies,policy type,policy,renew offer type,sales channel,total claim amount,vehicle class,vehicle size,vehicle type,month,response_numerical,claims
DK49336,Arizona,4809.21696,No,Basic,College,2/18/11,Employed,M,"(44428.0, 68532.8]",Suburban,Married,61,7.0,52,0.0,9,Corporate Auto,Corporate L3,Offer3,Agent,292.8,Four-Door Car,Medsize,M,2,0,"(212.799, 302.4]"
KX64629,California,2228.525238,No,Basic,College,1/18/11,Unemployed,F,"(-0.001, 25820.0]",Suburban,Single,64,3.0,26,0.0,1,Personal Auto,Personal L3,Offer4,Call Center,744.924331,Four-Door Car,Medsize,M,1,0,"(599.062, 773.434]"
LZ68649,Washington,14947.9173,No,Basic,Bachelor,2/10/11,Employed,M,"(-0.001, 25820.0]",Suburban,Single,100,34.0,31,0.0,2,Personal Auto,Personal L3,Offer3,Call Center,480.0,SUV,Medsize,A,2,0,"(453.6, 513.6]"
XL78013,Oregon,22332.43946,Yes,Extended,College,1/11/11,Employed,M,"(44428.0, 68532.8]",Suburban,Single,97,10.0,3,0.0,2,Corporate Auto,Corporate L3,Offer2,Branch,484.013411,Four-Door Car,Medsize,A,1,1,"(453.6, 513.6]"
IW72280,California,5035.035257,No,Basic,Doctor,2/14/11,Employed,F,"(25820.0, 44428.0]",Urban,Married,63,8.0,99,3.0,4,Corporate Auto,Corporate L2,Offer2,Branch,287.556107,Four-Door Car,Medsize,M,2,0,"(212.799, 302.4]"
IH64929,California,4956.247235,No,Basic,High School or Below,2/24/11,Employed,M,"(68532.8, 99981.0]",Urban,Single,63,35.0,45,0.0,3,Personal Auto,Personal L2,Offer2,Branch,247.402353,Two-Door Car,Medsize,M,2,0,"(212.799, 302.4]"
FM55990,California,5989.773931,Yes,Premium,College,1/19/11,Employed,M,"(44428.0, 68532.8]",Suburban,Single,154,33.0,24,0.0,1,Personal Auto,Personal L1,Offer2,Branch,739.2,Sports Car,Medsize,M,1,1,"(599.062, 773.434]"
QX31376,Oregon,17114.32815,No,Extended,Master,1/4/11,Employed,F,"(68532.8, 99981.0]",Suburban,Married,85,19.0,8,0.0,2,Corporate Auto,Corporate L3,Offer2,Agent,408.0,Four-Door Car,Small,M,1,0,"(383.945, 453.6]"
HG93801,Arizona,5154.764074,No,Extended,High School or Below,1/2/11,Employed,M,"(68532.8, 99981.0]",Urban,Married,127,13.0,31,0.0,1,Corporate Auto,Corporate L3,Offer2,Branch,442.521087,SUV,Large,A,1,0,"(383.945, 453.6]"
EO51920,Oregon,19955.25713,No,Extended,High School or Below,1/31/11,Employed,F,"(68532.8, 99981.0]",Rural,Married,99,24.0,32,0.0,2,Corporate Auto,Corporate L3,Offer1,Agent,64.669515,Four-Door Car,Medsize,M,1,0,"(0.098, 104.085]"
